Frame,GID_1,GID_1 PlotX,GID_1 PlotY,GID_1 G3DX,GID_1 G3DY,GID_1 G3DZ,GID_1 Label,GID_2,GID_2 PlotX,GID_2 PlotY,GID_2 G3DX,GID_2 G3DY,GID_2 G3DZ,GID_2 Label
491,5,912,997,300.6397399999996,-2433.990796666667,1209.2941772918696,PID10,10,965,468,833.34553,1904.4813199999999,1640.9023614391076,PID1
493,5,928,988,459.0798299999997,-2364.607546666667,1304.8545640955092,PID10,10,965,470,827.86115,1885.6465766666665,1633.3931523673514,PID1
495,5,942,985,598.7091300000002,-2336.5951533333337,1268.8391845359488,PID10,10,966,471,842.76498,1874.7244466666666,1628.7058256502587,PID1
497,5,1057,1022,1748.97336,-2641.3567333333335,1030.4255548021792,OID5,10,968,474,858.11896,1855.044043333333,1612.1994807642939,PID1
499,5,1102,1024,2200.21367,-2653.4176466666668,1007.2382832851467,OID5,10,969,476,874.00234,1834.77927,1602.44225873331,PID1
501,5,1147,1022,2651.86496,-2640.29702,1070.418553085738,OID5,10,968,479,860.18198,1814.0057766666664,1594.8612463656898,PID1
503,5,1412,1053,5299.98967,-2892.01881,1138.3818177776006,OID5,10,970,480,876.52474,1801.1113066666667,1576.4379587441597,PID1
505,5,1846,1048,9636.77106,-2849.737673333334,1362.6821801373894,Wall,10,971,482,893.11484,1787.7531866666664,1564.8660447939844,PID1
507,5,1842,1023,9596.550220000001,-2650.8207333333335,1374.1858466681645,Wall,10,973,485,910.0929,1765.6380433333331,1539.917751681231,PID1
509,5,1841,982,9585.97143,-2309.591366666667,1422.6226727656822,Wall,10,975,486,927.42705,1751.4476333333334,1525.086622970352,PID1
511,5,1844,971,9615.482530000001,-2218.4258,1349.77408170212,Wall,10,977,488,945.01564,1737.009213333333,1511.5745317593457,PID1
563,5,843,693,-388.5575399999998,53.431,661.5586928365592,PID2,10,1161,551,2794.75625,1221.5831566666666,0.1,Floor
565,5,817,724,-653.2059399999998,-198.73143,830.8894174979844,PID2,10,1164,551,2816.59371,1219.2957966666663,0.1,Floor
567,5,819,729,-630.64644,-241.02383666666668,874.8559199665516,PID2,10,1166,552,2838.7015,1217.1893566666663,0.1,Floor
569,5,812,735,-698.6746699999999,-284.02649333333335,901.8104903506287,PID2,10,1173,544,2911.0856400000002,1282.0244133333333,0.1,Floor
571,5,605,793,-2767.26989,-760.9077933333334,0.1,Floor,10,1178,538,2963.67626,1330.454523333333,0.1,Floor
573,5,815,751,-665.9995600000002,-421.2923366666667,932.5700504955718,PID2,10,1175,528,2926.42421,1412.4416866666666,0.1,Floor
703,5,946,827,635.48803,-1038.3434966666669,630.4285227119135,PID6,10,1285,501,4026.27946,1628.9824766666666,989.6874217601862,OID5
705,5,937,830,547.9308999999998,-1065.7297966666667,659.845364094246,PID6,10,1414,535,5319.68163,1355.8605566666665,137.0477889541171,OID5
707,5,937,835,550.4136100000001,-1110.2773633333336,665.3190120716768,PID6,10,1280,502,3982.10208,1623.6891233333333,1078.2708683971289,OID5
709,5,941,835,592.9108900000001,-1105.28494,642.4629506352783,PID6,10,1282,502,4003.71668,1623.9592933333333,1095.8079746620106,OID5
711,5,933,833,505.29934000000003,-1092.2050733333335,683.0856300063017,PID6,10,1453,566,5714.895640000001,1098.3960233333332,0.1,Floor
731,5,1008,822,1262.71841,-997.39333,0.1,Floor,10,1369,534,4865.04177,1358.5560266666666,0.1,Floor
733,5,1012,814,1304.25871,-937.3127833333335,0.1,Floor,10,1371,535,4885.82778,1356.0495166666665,0.1,Floor
735,5,1004,814,1215.20739,-934.65083,0.1,Floor,10,1362,538,4796.9618900000005,1328.6744366666667,0.1,Floor
737,5,1035,822,1526.53318,-997.2531333333335,0.1,Floor,10,1366,536,4838.11622,1342.5723133333333,0.1,Floor
755,5,1083,836,2012.04314,-1118.06897,0.1,Floor,10,1371,553,4893.134529999999,1203.21972,99.03660875287846,OID5
819,5,1244,806,3622.4085299999997,-867.9212666666667,0.1,Floor,10,1585,493,7028.99204,1700.1478266666668,0.1,Floor
829,5,1233,805,3512.62384,-863.2038033333336,0.1,Floor,10,1580,528,6977.10348,1406.9018866666665,0.1,Floor
831,5,1161,821,2785.35684,-989.7641633333335,231.62230110469886,OID6,10,1578,550,6955.23542,1232.95334,0.1,Floor
833,5,1143,808,2608.24098,-884.3646,0.1,Floor,10,1578,559,6963.88181,1158.3261533333332,0.1,Floor
835,5,1321,806,4391.65964,-871.0228033333335,0.1,Floor,10,1587,572,7053.34323,1049.6842233333332,0.1,Floor
837,5,1286,786,4035.3021900000003,-708.3991666666667,0.1,Floor,10,1590,528,7083.42916,1407.01007,0.1,Floor
2537,5,1170,644,2875.89389,456.74282000000005,1688.463991064284,OID6,10,635,861,-2465.05587,-1320.11914,1311.1536676052817,PID1
2538,5,1169,644,2874.28524,455.53117999999995,1695.5767369205232,OID6,10,623,859,-2594.60018,-1301.66523,1271.025605725551,PID1
2539,5,1168,645,2862.65232,454.23136,1695.33968994806,OID6,10,613,862,-2694.19635,-1324.7618066666666,1236.2266109114603,PID1
2540,5,1166,645,2841.16099,452.66871000000003,1693.3549784301838,OID6,10,612,862,-2703.60404,-1330.8063566666667,1236.9730945710087,PID1
2541,5,1165,646,2829.72475,442.5390266666666,1692.725090818441,OID6,10,611,863,-2712.95354,-1336.4885166666668,1232.2062495615146,PID1
2542,5,1164,645,2818.28113,448.94241,1694.566173253414,OID6,10,490,877,-3922.141,-1450.19295,800.4948474580635,PID7
2543,5,1163,645,2806.90934,446.94588,1694.7842979373538,OID6,10,264,925,-6181.20974,-1846.8910066666667,0.1,Floor
2544,5,1162,646,2795.44541,444.81469000000004,1697.469327098583,OID6,10,261,913,-6210.19001,-1743.3250333333335,0.1,Floor
2545,5,1161,647,2794.03838,434.2754366666667,1700.7217437157908,OID6,10,260,913,-6219.25843,-1747.7028633333334,0.1,Floor
2671,5,769,843,-1130.19557,-1172.689776666667,0.1,Floor,10,52,875,-8298.06098,-1433.8298433333332,0.1,Floor
2679,5,766,1004,-1155.95183,-2488.748516666667,0.1,Floor,10,1,900,-8807.33335,-1641.6492233333333,1459.8368291366567,Wall
2681,5,783,967,-990.2339099999999,-2185.543483333334,0.1,Floor,10,1,900,-8808.47492,-1643.3891633333333,1513.8128764346873,Wall
2731,5,779,663,-1034.5691299999999,303.63576,340.5167113558664,OID12,10,1,761,-8808.66573,-496.39611333333323,6607.096897432828,Wall
2733,5,777,655,-1047.91064,368.6607466666667,337.0979754970315,OID12,10,1,770,-8807.82746,-570.37042,6632.347417353521,Wall
2735,5,725,634,-1571.23982,542.3074966666667,0.1,Floor,10,1,786,-8805.5425,-701.04052,6631.475756080585,Wall
2749,5,575,751,-3071.4468699999998,-421.57749,0.1,Floor,10,1,869,-8813.752410000001,-1388.0838266666665,6664.21453000197,Wall
2751,5,591,747,-2906.5713100000003,-385.94260666666673,0.1,Floor,10,1,878,-8805.03392,-1461.3383233333332,6622.505324070889,Wall
2753,5,595,729,-2872.00569,-241.7495,0.1,Floor,10,1,887,-8806.42988,-1534.8684,6605.6927179400645,Wall
2755,5,620,649,-2617.5142,419.3285433333333,0.1,Floor,10,1,895,-8808.03712,-1600.3322433333333,6556.423347108383,Wall
2763,5,780,649,-1020.84704,421.66557,782.1000996803184,OID12,10,1,937,-8805.84713,-1941.1366466666668,6541.149444358336,Wall
2765,5,637,636,-2447.0888,524.20904,0.1,Floor,10,1,942,-8808.64373,-1983.7847,6528.411687962502,Wall
2767,5,634,660,-2483.66677,326.28283,0.1,Floor,10,1,938,-8812.05694,-1951.2660133333334,6509.4178231809965,Wall
4288,5,1849,651,9669.75482,398.0233733333334,197.93477862182,Wall,10,855,336,-272.86648000000014,2979.709613333334,0.1,Floor
4296,5,1849,696,9672.04859,32.40603666666668,268.71823071970925,Wall,10,685,459,-1966.56732,1976.74174,0.1,Floor
4298,5,1842,705,9604.78322,-43.01614333333333,326.31082761122684,Wall,10,680,452,-2015.55296,2033.003686666667,0.1,Floor
4300,5,1844,732,9617.34066,-260.91911,436.2861540424899,Wall,10,679,438,-2025.1725900000001,2147.969766666667,0.1,Floor
4302,5,1846,732,9639.95959,-262.95176,380.4885501603103,Wall,10,662,426,-2204.83561,2246.57933,0.1,Floor
4304,5,1119,776,2372.2761499999997,-623.3561633333334,0.1,Floor,10,661,422,-2214.37655,2278.698616666667,0.1,Floor
4306,5,1121,776,2394.73503,-626.1698633333334,0.1,Floor,10,654,405,-2283.69413,2419.275516666667,0.1,Floor
4328,5,1126,836,2439.4718700000003,-1111.93969,0.1,Floor,10,706,268,-1756.59028,3542.649313333334,847.6054466808255,OID9
4330,5,1139,831,2573.42055,-1073.4979933333334,0.1,Floor,10,707,254,-1746.2031299999999,3651.97798,804.7934142964407,OID9
4334,5,1146,823,2642.53076,-1011.4846966666668,0.1,Floor,10,709,206,-1726.1646,4047.363153333334,703.396292398252,OID9
4336,5,1159,827,2767.48956,-1037.3727766666668,0.1,Floor,10,707,202,-1745.82548,4082.65045,654.792860757666,OID9
4338,5,1163,818,2812.62448,-970.7042,11.042920947996663,OID6,10,708,200,-1735.2053099999998,4101.15966,582.6262287718951,OID9
4344,5,1134,798,2524.66011,-807.0783566666668,0.1,Floor,10,706,212,-1762.7968799999999,4000.713176666667,570.7538843951079,OID9
4360,5,1176,760,2936.29727,-488.67435333333333,0.1,Floor,10,628,422,-2542.8197,2278.6230433333335,0.1,Floor
4362,5,1170,707,2879.23361,-57.814693333333324,0.1,Floor,10,629,420,-2528.89638,2294.4933433333335,0.1,Floor
4364,5,1182,706,3001.78093,-51.331203333333335,0.1,Floor,10,636,419,-2463.80911,2299.94251,0.1,Floor
4384,5,1361,841,4789.8338,-1153.0234566666668,0.1,Floor,10,995,126,1126.87356,4706.0493,0.1,Floor
4386,5,1364,838,4822.70875,-1128.32336,0.1,Floor,10,995,150,1132.9200999999998,4511.503456666667,0.1,Floor
4388,5,1355,842,4734.77521,-1162.6551166666668,0.1,Floor,10,979,147,969.3980000000001,4533.83187,0.1,Floor
4390,5,1163,789,2806.89461,-730.8178866666667,688.9315596396264,OID6,10,962,169,796.2746400000001,4356.1492333333335,0.1,Floor
4392,5,1350,832,4679.53688,-1082.67032,0.1,Floor,10,965,206,833.6681100000001,4045.136233333334,0.1,Floor
4394,5,1165,801,2832.8469999999998,-826.97065,657.421511806381,OID6,10,968,221,861.7767800000001,3925.25221,0.1,Floor
4396,5,1162,786,2795.95237,-705.2911433333335,608.3758987347464,OID6,10,963,226,809.2162800000001,3881.479366666667,0.1,Floor
4398,5,1163,782,2808.82851,-676.2203433333335,586.4418294772786,OID6,10,959,232,767.2428500000001,3836.745733333334,0.1,Floor
4400,5,1162,789,2801.37804,-731.2002666666667,611.6833289084423,OID6,10,954,254,715.0979299999999,3658.489606666667,0.1,Floor
4402,5,1160,793,2783.62918,-761.63008,562.4630278760369,OID6,10,964,259,823.05924,3613.605743333334,0.1,Floor
4404,5,1444,859,5615.39569,-1300.427266666667,0.1,Floor,10,964,243,821.50171,3744.05841,0.1,Floor
4406,5,1461,859,5787.17903,-1306.44873,33.58409686374944,PID2,10,980,226,979.9399400000002,3883.07488,0.1,Floor
4408,5,1809,889,9268.4357,-1545.650076666667,0.1,Floor,10,981,209,988.1770900000001,4022.33395,0.1,Floor
4410,5,1787,883,9049.8441,-1501.90448,0.1,Floor,10,997,192,1146.3962700000002,4160.74455,0.1,Floor
4412,5,1459,848,5771.60872,-1217.0075166666668,0.1,Floor,10,1018,168,1362.89545,4358.125523333334,0.1,Floor
4414,5,1494,839,6123.32031,-1140.4087266666668,0.1,Floor,10,1025,142,1428.4989799999998,4571.142083333334,0.1,Floor
4436,5,1282,694,3997.70005,49.34877666666667,0.1,Floor,10,675,505,-2073.7785,1597.4406133333334,1634.0505187495855,OID12
