Frame,GID_1,GID_1 PlotX,GID_1 PlotY,GID_1 G3DX,GID_1 G3DY,GID_1 G3DZ,GID_1 Label,GID_2,GID_2 PlotX,GID_2 PlotY,GID_2 G3DX,GID_2 G3DY,GID_2 G3DZ,GID_2 Label
491,5,750,979,-1199.3602600000004,-1767.32413,1391.8847994220614,OID12,10,953,530,833.34553,1904.4813199999999,1640.9023614391076,PID1
493,5,755,970,-1150.9201700000003,-1689.607546666667,1467.1044241543332,OID12,10,953,532,827.86115,1885.6465766666665,1633.3931523673514,PID1
495,5,759,964,-1111.2908699999998,-1644.928486666667,1449.4231959577583,OID12,10,954,535,842.76498,1866.3911133333334,1624.5336448525636,PID1
497,5,763,956,-1071.02664,-1574.690066666667,1380.4519672229537,OID12,10,956,536,858.11896,1855.044043333333,1612.1994807642939,PID1
499,5,768,948,-1019.7863299999999,-1511.75098,1394.5496391120655,OID12,10,957,539,874.00234,1834.77927,1602.44225873331,PID1
501,5,773,938,-968.1350400000001,-1431.9636866666667,1452.020085505822,OID12,10,956,541,860.18198,1814.0057766666664,1594.8612463656898,PID1
503,5,1847,1264,9769.989669999999,-4100.3521433333335,819.5084141073062,Wall,10,958,543,876.52474,1801.1113066666667,1576.4379587441597,PID1
505,5,1844,1113,9736.77106,-2866.40434,1359.2513634370657,Wall,10,959,544,893.11484,1787.7531866666664,1564.8660447939844,PID1
507,5,1840,1089,9696.550220000001,-2667.4874,1370.802306487053,Wall,10,961,547,910.0929,1765.6380433333331,1539.917751681231,PID1
509,5,1848,1056,9775.97143,-2392.9247,1416.560665474436,Wall,10,963,549,927.42705,1751.4476333333334,1525.086622970352,PID1
511,5,1842,1036,9715.482530000001,-2235.092466666667,1346.197285856908,Wall,10,965,551,945.01564,1737.009213333333,1511.5745317593457,PID1
563,5,831,756,-388.5575399999998,53.431,661.5586928365592,PID2,10,1113,595,2434.75625,1371.5831566666666,414.0801683308209,OID5
565,5,805,787,-653.2059399999998,-198.73143,830.8894174979844,PID2,10,1127,598,2566.59371,1352.6291299999998,296.91111127429735,OID5
567,5,807,792,-630.64644,-241.02383666666668,874.8559199665516,PID2,10,1140,598,2698.7015,1350.5226899999998,153.0412381275703,OID5
569,5,800,798,-698.6746699999999,-284.02649333333335,901.8104903506287,PID2,10,1164,600,2941.0856400000002,1332.0244133333333,0.1,Floor
571,5,593,856,-2767.26989,-760.9077933333334,0.1,Floor,10,1155,601,2853.67626,1322.1211899999998,8.951940132194068,OID5
573,5,803,815,-665.9995600000002,-421.2923366666667,932.5700504955718,PID2,10,1160,595,2896.42421,1370.77502,0.1,Floor
703,5,934,890,635.48803,-1038.3434966666669,630.4285227119135,PID6,10,1418,606,5476.27946,1287.31581,0.1,Floor
705,5,935,896,647.9308999999998,-1090.7297966666667,620.4411480134306,PID6,10,1429,616,5589.68163,1205.8605566666665,0.1,Floor
707,5,925,899,550.4136100000001,-1110.2773633333336,665.3190120716768,PID6,10,1431,615,5612.102080000001,1207.0224566666666,0.1,Floor
709,5,929,898,592.9108900000001,-1105.28494,642.4629506352783,PID6,10,1439,629,5693.7166799999995,1098.9592933333333,0.1,Floor
711,5,919,902,485.29934000000003,-1133.87174,685.6566153823528,PID6,10,1441,629,5714.895640000001,1098.3960233333332,0.1,Floor
731,5,996,885,1262.71841,-997.39333,0.1,Floor,10,1357,597,4865.04177,1358.5560266666666,0.1,Floor
733,5,1000,878,1304.25871,-937.3127833333335,0.1,Floor,10,1359,597,4885.82778,1356.0495166666665,0.1,Floor
735,5,992,877,1215.20739,-934.65083,0.1,Floor,10,1352,594,4816.9618900000005,1378.6744366666667,0.1,Floor
737,5,1023,885,1526.53318,-997.2531333333335,0.1,Floor,10,1354,599,4838.11622,1342.5723133333333,0.1,Floor
755,5,1071,900,2012.04314,-1118.06897,0.1,Floor,10,1370,615,5003.134529999999,1211.5530533333333,0.1,Floor
819,5,1232,869,3622.4085299999997,-867.9212666666667,0.1,Floor,10,1294,536,4238.99204,1858.48116,1716.258144917278,OID6
829,5,1221,869,3512.62384,-863.2038033333336,0.1,Floor,10,1303,541,4327.10348,1815.23522,1725.4658699946733,OID6
831,5,1207,898,3365.35684,-1106.43083,0.1,Floor,10,1305,543,4345.23542,1799.6200066666668,1726.54595748867,OID6
833,5,1131,871,2608.24098,-884.3646,0.1,Floor,10,1307,545,4373.88181,1783.3261533333332,1723.3497724632025,OID6
835,5,1309,869,4391.65964,-871.0228033333335,0.1,Floor,10,1309,548,4393.34323,1758.0175566666667,1729.4801332696966,OID6
837,5,1274,850,4035.3021900000003,-708.3991666666667,0.1,Floor,10,1312,544,4423.42916,1790.3434033333333,1727.0740937462465,OID6
2537,5,837,875,-334.10611000000017,-918.25718,0.1,Floor,10,613,921,-2565.05587,-1295.11914,1277.5880074999936,PID1
2538,5,829,885,-405.71475999999984,-994.46882,0.1,Floor,10,612,926,-2584.60018,-1334.9985633333335,1272.6825784190278,PID1
2539,5,837,880,-327.34767999999985,-954.1019733333335,0.1,Floor,10,491,937,-3794.19635,-1424.7618066666666,842.1247980462838,PID7
2540,5,824,881,-458.83901000000014,-963.9979566666669,0.1,Floor,10,600,926,-2703.60404,-1330.8063566666667,1236.9730945710087,PID1
2541,5,827,889,-430.27525000000014,-1032.4609733333336,0.1,Floor,10,599,926,-2712.95354,-1336.4885166666668,1232.2062495615146,PID1
2542,5,826,889,-441.71887000000015,-1034.3909233333334,0.1,Floor,10,478,940,-3922.141,-1450.19295,800.4948474580635,PID7
2543,5,821,882,-493.09065999999984,-969.720786666667,0.1,Floor,10,250,976,-6201.20974,-1738.5576733333335,0.1,Floor
2544,5,820,882,-504.5545900000002,-971.8519766666669,0.1,Floor,10,251,989,-6190.19001,-1851.6583666666668,0.1,Floor
2545,5,817,899,-525.96162,-1115.7245633333334,0.1,Floor,10,248,977,-6219.25843,-1747.7028633333334,0.1,Floor
2671,5,757,906,-1130.19557,-1172.689776666667,0.1,Floor,10,40,950,-8298.06098,-1525.49651,0.1,Floor
2679,5,754,1067,-1155.95183,-2488.748516666667,0.1,Floor,10,1,964,-8687.33335,-1641.6492233333333,1466.95850850055,Wall
2681,5,771,1030,-990.2339099999999,-2185.543483333334,0.1,Floor,10,1,968,-8688.47492,-1676.7224966666668,1520.0560882943273,Wall
2731,5,717,736,-1534.5691299999999,220.30242666666666,0.1,Floor,10,1,823,-8688.66573,-488.06278,6607.900345218273,Wall
